day,food_category,previous_orders,previous_demand,actual_demand
Sunday,Chinese,105,110,120
Sunday,Fast Food,134,140,150
Sunday,Desserts,80,86,92
Monday,South Indian,43,45,47
Monday,North Indian,59,61,64
Monday,Chinese,33,36,38
Monday,Fast Food,47,51,53
Monday,Desserts,23,26,27
Tuesday,South Indian,47,50,52
Tuesday,North Indian,64,66,69
Tuesday,Chinese,38,41,43
Tuesday,Fast Food,53,56,58
Tuesday,Desserts,28,30,31
Wednesday,South Indian,51,54,56
Wednesday,North Indian,69,72,75
Wednesday,Chinese,41,44,46
Wednesday,Fast Food,57,61,63
Wednesday,Desserts,30,33,35
Thursday,South Indian,56,59,61
Thursday,North Indian,73,77,79
Thursday,Chinese,46,49,52
Thursday,Fast Food,64,67,70
Thursday,Desserts,34,37,39
Friday,South Indian,69,73,77
Friday,North Indian,91,95,100
Friday,Chinese,66,70,74
Friday,Fast Food,86,90,95
Friday,Desserts,46,49,53
Saturday,South Indian,86,90,96
Saturday,North Indian,116,120,128
Saturday,Chinese,86,91,98
Saturday,Fast Food,112,117,124
Saturday,Desserts,66,70,75
Sunday,South Indian,96,100,108
Sunday,North Indian,126,130,138
Sunday,Chinese,92,97,104
Sunday,Fast Food,122,127,134
Sunday,Desserts,72,76,82
